TIMESTAMP,COND,COND-DETAILS,IADS-ID,IAPS-ID,WIDGET-TYPE,ANS,ANS-TIME,ID,AGE,SEX,PROCEDURE-BEGIN-TIMESTAMP,PROCEDURE-END-TIMESTAMP,BIOSIGS-BEGIN-TIMESTAMP,BIOSIGS-END-TIMESTAMP,OPENNESS,CONSCIENTIOUSNESS,EXTRAVERSION,AGREEABLENESS,NEUROTICISM,NEO-FFI,BIOSIGS,PROCEDURE,SPACE,FREUD,PHOTOS
1555651415.3661745,inc,p-s+,204,3053,emospace1,"[-0.679384765625, 0.6250146484375003]",1.3182265149289378,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651432.9841821,con,p+s+,367,5470,emospace1,"[0.041008300781250055, -0.9318798828124996]",0.9011196617061614,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651450.5411866,inc,p+s-,293,2300,emospace1,"[-0.6445849609375, -0.6549041748046869]",2.602862878510677,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651468.0491874,inc,p-s+,415,9325,emospace1,"[-0.6583410644531246, 0.6366217041015619]",2.435946777798563,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651485.5981913,con,p+s+,360,4656,emospace1,"[0.0, -0.8379193115234377]",1.885414021495308,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651503.116193,inc,p+s-,703,4611,emospace1,"[-0.660206298828125, 0.6366082763671868]",1.9688579642702282,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651520.6151946,con,p-s-,713,6510,emospace1,"[-0.6339379882812503, 0.6453283691406253]",2.402590752270044,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651538.113195,inc,p-s+,610,3063,emospace1,"[-0.9512677001953121, 0.0]",2.3859423053950195,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651555.6111958,con,p0s0,705,2309,emospace1,"[-0.6662823486328123, 0.6010327148437505]",2.435965687960561,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651573.393213,inc,p-s+,205,9253,emospace1,"[-0.573001708984375, -0.61902099609375]",3.0365878623169915,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651590.9982195,inc,p+s-,501,4656,emospace1,"[0.0, 0.8485943603515621]",0.8510089322003296,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651608.5972266,inc,p+s-,289,8186,emospace1,"[0.6607824707031247, -0.6422009277343752]",3.2034166160892714,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651626.1712315,con,p-s-,288,9325,emospace1,"[-0.9169256591796879, 0.034257812499999915]",2.9366131358992784,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651643.6652324,con,p0s0,720,7046,emospace1,"[-0.6434472656249999, 0.6814257812499996]",2.8864588830037974,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651661.2902405,inc,p-s+,817,1525,emospace1,"[0.6401623535156252, 0.6461639404296883]",2.88648199542422,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
