ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
7250;21;M;1554967680.0;1554971918.4658139;1554967642.809;1554971961.158;4;5;7;9;9;Y;Y;Y;Y;Y;Y
7311;19;M;1555487460.0;1555491715.382325;1555487257.886;1555491749.785;8;3;5;6;8;Y;Y;Y;Y;Y;Y
7347;23;M;1557755460.0;1557759649.006049;1557755441.711;1557759681.16;7;8;7;7;2;Y;Y;Y;Y;Y;Y
7474;24;M;1555333860.0;1555338099.005367;1555334101.295;1555338136.894;3;2;1;2;7;Y;Y;Y;nan;Y;Y
7504;21;F;1558101420.0;1558105607.9998012;1558101416.75;1558105634.899;3;6;1;7;10;Y;Y;Y;Y;Y;Y
7630;33;F;1555078140.0;1555082356.286095;1555078109.221;1555082391.57;6;2;2;8;10;Y;Y;Y;Y;Y;Y
7686;21;M;1555501140.0;1555505358.636719;1555501157.918;1555505394.217;4;7;6;7;5;Y;Y;Y;Y;Y;Y
7699;21;M;1557392280.0;1557396486.81478;1557392295.278;1557396523.777;5;6;5;6;4;Y;Y;Y;Y;Y;Y
7722;21;F;1554115620.0;1554119792.042427;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
7777;23;M;1555596360.0;1555600518.819816;1555596253.155;1555600556.204;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
7813;22;F;1557305280.0;1557309498.405034;1557305316.64;1557309580.839;6;5;5;3;4;Y;Y;Y;Y;Y;Y
7820;22;M;1554883320.0;1554887533.2829192;1554883333.522;1554887562.021;9;2;3;7;10;Y;Y;Y;Y;Y;Y
7957;21;M;1555661460.0;1555665661.361303;1555661481.993;1555665677.042;5;6;5;7;3;Y;Y;Y;Y;Y;Y
7976;20;M;1557225660.0;1557229872.359229;nan;nan;4;6;8;6;6;Y;nan;Y;Y;Y;Y
8002;21;M;1555421880.0;1555426097.782545;1555421929.828;1555426132.227;4;4;2;8;7;Y;Y;Y;Y;Y;Y
8010;23;F;1557299580.0;1557303788.996;1557299577.821;1557303824.17;6;4;4;1;3;Y;Y;Y;Y;Y;Y
8029;19;F;1557996540.0;1558000740.767397;nan;nan;3;4;2;9;10;Y;nan;Y;Y;Y;Y
8040;22;M;1555416600.0;1555420861.614554;1555416712.357;1555420896.306;8;8;9;5;5;Y;Y;Y;Y;Y;Y
8057;21;F;1554987960.0;1554992140.015803;1554987962.297;1554992174.446;5;4;3;2;8;Y;Y;Y;Y;Y;Y
8097;31;M;1557472560.0;1557476738.62437;1557472503.53;1557476784.379;5;3;9;2;9;Y;Y;Y;Y;Y;Y
8101;21;F;1555062180.0;1555066407.566094;1555062199.366;1555066449.465;3;7;2;7;2;Y;Y;Y;Y;Y;Y
8106;22;M;1557818040.0;1557822214.996038;1557817871.244;1557822254.543;6;7;4;8;10;Y;Y;Y;Y;Y;Y
8229;20;F;1558077000.0;1558081274.8080518;1558076906.4;1558081317.149;5;7;3;1;8;Y;Y;Y;Y;Y;Y
8341;22;M;1555067340.0;1555071528.477844;1555067215.98;1555071562.379;5;3;2;3;9;Y;Y;Y;Y;Y;Y
8479;27;M;1557842820.0;1557847040.316486;nan;nan;5;8;1;3;2;Y;nan;Y;Y;Y;Y
